218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/slideImage2.jpg HTTP/1.1" 200 65025
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/mainBeans.png HTTP/1.1" 200 12884
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/slideImage.JPG HTTP/1.1" 200 93107
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/smartphone.png HTTP/1.1" 200 760
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/dalboofooter.png HTTP/1.1" 200 14232
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/slideImage3.jpg HTTP/1.1" 200 81300
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/instargram.png HTTP/1.1" 200 19125
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/facebook.png HTTP/1.1" 200 14093
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/twitter.png HTTP/1.1" 200 16636
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/mainMdimg.jpg HTTP/1.1" 200 139531
218.148.101.172 - - [14/Apr/2021:23:21:52 +0900] "GET /dalboo/resources/images/mainCoffeeimg5.jpg HTTP/1.1" 200 83494
218.148.101.172 - - [14/Apr/2021:23:21:53 +0900] "GET /dalboo/resources/images/%EB%A9%94%EC%9D%B8%EC%B0%BD%EC%97%85%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 200 436231
218.148.101.172 - - [14/Apr/2021:23:21:53 +0900] "GET /dalboo/resources/images/MainSlideImg1.jpg HTTP/1.1" 200 97628
218.148.101.172 - - [14/Apr/2021:23:21:53 +0900] "GET /dalboo/resources/images/MainVoteResult.png HTTP/1.1" 200 215585
218.148.101.172 - - [14/Apr/2021:23:21:53 +0900] "GET /dalboo/resources/images/MainSlideImg2.jpg HTTP/1.1" 200 136119
218.148.101.172 - - [14/Apr/2021:23:21:53 +0900] "GET /dalboo/resources/images/MainSlideImg3.jpg HTTP/1.1" 200 556324
218.148.101.172 - - [14/Apr/2021:23:21:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
218.148.101.172 - - [14/Apr/2021:23:22:17 +0900] "GET /dalboo/ HTTP/1.1" 200 16013
218.148.101.172 - - [14/Apr/2021:23:22:21 +0900] "GET /dalboo/howtofind.bo HTTP/1.1" 200 10592
218.148.101.172 - - [14/Apr/2021:23:22:21 +0900] "GET /dalboo/resources/images/green.png HTTP/1.1" 200 1812
218.148.101.172 - - [14/Apr/2021:23:22:21 +0900] "GET /dalboo/resources/images/bus.png HTTP/1.1" 200 10058
218.148.101.172 - - [14/Apr/2021:23:22:21 +0900] "GET /dalboo/resources/images/blue.png HTTP/1.1" 200 1871
218.148.101.172 - - [14/Apr/2021:23:22:21 +0900] "GET /dalboo/resources/images/train.png HTTP/1.1" 200 16685
